application/acad,.dwg
application/annodex,.anx
application/applixware,.aw
application/atom+xml,.atom
application/atom+xml,.atom
application/atomcat+xml,.atomcat
application/atomsvc+xml,.atomsvc
application/ccxml+xml,.ccxml
application/cdmi-capability,.cdmia
application/cdmi-container,.cdmic
application/cdmi-domain,.cdmid
application/cdmi-object,.cdmio
application/cdmi-queue,.cdmiq
application/cu-seeme,.cu
application/davmount+xml,.davmount
application/directx,.x
application/docbook+xml,.dbk
application/dssc+der,.dssc
application/dssc+xml,.xdssc
application/ecmascript,.ecma
application/ecmascript,.es
application/emma+xml,.emma
application/envoy,.evy
application/epub+zip,.epub
application/etl,.etl
application/exi,.exi
application/font-sfnt,.otf
application/font-sfnt,.ttf
application/font-tdpfr,.pfr
application/font-woff,.woff
application/font-woff,.woff
application/font-woff2,.woff2
application/fractals,.fif
application/fsharp-script,.fsscript
application/fsharp-script,.fsx
application/fsharp-script,.fsx
application/futuresplash,.spl
application/gml+xml,.gml
application/gpx+xml,.gpx
application/gpx+xml,.gpx
application/gxf,.gxf
application/hta,.hta
application/hyperstudio,.stk
application/inkml+xml,.ink
application/inkml+xml,.inkml
application/internet-property-stream,.acx
application/ipfix,.ipfix
application/java-archive,.jar
application/java-archive,.jar
application/javascript,.js
application/javascript,.js
application/java-serialized-object,.ser
application/java-vm,.class
application/json,.json
application/json,.json
application/jsonml+json,.jsonml
application/liquidmotion,.jck
application/liquidmotion,.jcz
application/lost+xml,.lostxml
application/mac-binhex40,.hqx
application/mac-binhex40,.hqx
application/mac-compactpro,.cpt
application/mads+xml,.mads
application/marc,.mrc
application/marcxml+xml,.mrcx
application/mathematica,.ma
application/mathematica,.mb
application/mathematica,.nb
application/mathml+xml,.mathml
application/mbox,.mbox
application/mbox,.mbox
application/mediaservercontrol+xml,.mscml
application/metalink+xml,.metalink
application/metalink4+xml,.meta4
application/mets+xml,.mets
application/mods+xml,.mods
application/mp21,.m21
application/mp21,.mp21
application/mp4,.mp4s
application/mpeg,.amc
application/msaccess,.accdb
application/msaccess,.accde
application/msaccess,.accdt
application/msaccess,.ade
application/msaccess,.adp
application/msaccess,.adp
application/msaccess,.mda
application/msaccess,.mde
application/msaccess.addin,.accda
application/msaccess.cab,.accdc
application/msaccess.ftemplate,.accft
application/msaccess.runtime,.accdr
application/msaccess.webapplication,.accdw
application/ms-vsi,.vsi
application/msword,.doc
application/msword,.doc
application/msword,.doc
application/msword,.dot
application/msword,.dot
application/msword,.wbk
application/msword,.wiz
application/mxf,.mxf
application/mxf,.mxf
application/octet-stream,.aaf
application/octet-stream,.aca
application/octet-stream,.afm
application/octet-stream,.asd
application/octet-stream,.asi
application/octet-stream,.bin
application/octet-stream,.bin
application/octet-stream,.bin
application/octet-stream,.bpk
